date,000001.SH,T.CFE,S0147027
2025-01-07,3229.6439,109.38,624.24
2025-01-08,3230.1679,109.425,623.24
2025-01-09,3211.3933,109.19,627.32
2025-01-10,3168.5238,109.16,632.7
2025-01-13,3160.755,109.0,632.7
2025-01-14,3240.94,109.14,632.7
2025-01-15,3227.1167,109.32,634.64
2025-01-16,3236.032,109.31,637.42
2025-01-17,3241.8212,109.035,638.88
2025-01-20,3244.3776,109.05,638.0
2025-01-21,3242.6226,109.24,637.96
2025-01-22,3213.6237,109.15,643.48
2025-01-23,3230.1637,109.105,644.24
2025-01-24,3252.6264,109.115,646.62
2025-01-27,3250.6007,109.34,646.36
2025-02-05,3229.4876,109.435,669.0
2025-02-06,3270.6594,109.535,666.8
2025-02-07,3303.6666,109.405,667.9
2025-02-10,3322.1698,109.225,677.62
2025-02-11,3318.0569,109.305,682.8
2025-02-12,3346.3854,109.145,679.66
2025-02-13,3332.4826,109.115,680.56
2025-02-14,3346.7242,108.86,686.9
2025-02-17,3355.8296,108.695,674.2
2025-02-18,3324.4906,108.595,681.8
2025-02-19,3351.5392,108.685,686.38
2025-02-20,3350.7833,108.42,688.84
2025-02-21,3379.1128,108.16,683.34
2025-02-24,3373.0276,107.87,685.04
2025-02-25,3346.0398,108.065,684.44
2025-02-26,3380.2144,108.18,678.02
2025-02-27,3388.0622,108.065,675.98
2025-02-28,3320.8973,108.255,672.06
2025-03-03,3316.9253,108.455,671.92
2025-03-04,3324.2099,108.4,675.52
2025-03-05,3341.9649,108.51,680.52
2025-03-06,3381.0983,108.245,680.16
2025-03-07,3372.5458,107.635,678.46
2025-03-10,3366.163,107.69,681.16
2025-03-11,3379.8284,107.235,675.72
2025-03-12,3371.9235,107.675,679.62
2025-03-13,3358.7285,107.62,682.42
2025-03-14,3419.5616,107.58,693.3
2025-03-17,3426.1285,107.075,695.0
2025-03-18,3429.7593,107.24,700.7
2025-03-19,3426.4291,107.22,707.34
2025-03-20,3408.9482,107.53,708.5
2025-03-21,3364.8307,107.415,705.14
2025-03-24,3370.0283,107.595,705.16
2025-03-25,3369.9763,107.675,704.88
2025-03-26,3368.6973,107.995,707.06
2025-03-27,3373.7489,107.89,708.38
2025-03-28,3351.3068,107.875,721.14
2025-03-31,3335.7462,107.87,729.16
2025-04-01,3348.4351,107.76,735.24
2025-04-02,3350.1266,108.05,732.72
2025-04-03,3342.0077,108.575,738.4
2025-04-07,3096.5762,109.18,717.3
2025-04-08,3145.5491,108.9,718.5
2025-04-09,3186.8099,109.045,725.44
2025-04-10,3223.6379,109.035,743.4
2025-04-11,3238.2268,108.95,757.26
2025-04-14,3262.8075,109.04,763.58
2025-04-15,3267.6623,108.96,762.68
2025-04-16,3276.0039,109.135,780.38
2025-04-17,3280.3412,108.99,788.16
2025-04-18,3276.7304,109.025,789.74
2025-04-21,3291.4341,108.78,804.06
2025-04-22,3299.7571,108.97,830.38
2025-04-23,3296.3552,108.77,784.08
2025-04-24,3297.2881,108.68,790.44
2025-04-25,3295.06,108.77,786.04
2025-04-28,3288.4147,108.84,778.98
2025-04-29,3286.6548,109.12,784.52
2025-04-30,3279.0314,109.0,752.06
2025-05-06,3316.1135,109.045,793.18
2025-05-07,3342.6651,108.85,799.36
2025-05-08,3351.9958,109.06,788.22
2025-05-09,3341.9989,109.06,797.62
2025-05-12,3369.2445,108.53,775.0
2025-05-13,3374.8707,108.715,762.0
2025-05-14,3403.9481,108.535,762.0
2025-05-15,3380.8214,108.555,762.0
2025-05-16,3367.4619,108.48,749.8
2025-05-19,3367.5829,108.605,754.14
2025-05-20,3380.478,108.84,752.6
2025-05-21,3387.5736,108.835,776.4
2025-05-22,3380.1885,108.815,777.92
2025-05-23,3348.3717,108.85,777.98
2025-05-26,3346.8388,108.855,775.52
2025-05-27,3340.687,108.735,769.72
2025-05-28,3339.9319,108.73,770.38
2025-05-29,3363.4455,108.475,762.6
2025-05-30,3347.4873,108.725,770.18
2025-06-03,3361.9755,108.685,781.0
2025-06-04,3376.2029,108.765,781.02
2025-06-05,3384.0985,108.72,781.78
2025-06-06,3385.3579,108.925,781.0
2025-06-09,3399.7716,109.0,772.04
2025-06-10,3384.8163,108.995,774.0
2025-06-11,3402.3159,109.045,775.24
